Code,1,2,3,4,5,6
FREIBRUM7,0.004,0.0039,0.9821,0.004,0.003,0.003
FRIC60,0.0247,0.004,0.9533,0.0049,0.0069,0.0062
ALD52,0.0526,0.0103,0.004,0.2934,0.471,0.1687
ALD13,0.0216,0.0054,0.003,0.0219,0.9328,0.0153
BOHHAS11,0.8172,0.0117,0.0037,0.0093,0.017,0.1411
ALD35,0.0239,0.0076,0.003,0.0139,0.9414,0.0102
ALD59,0.3299,0.006,0.003,0.0119,0.593,0.0562
ALD60,0.0536,0.0058,0.003,0.0089,0.9095,0.0192
ALD1,0.0309,0.0056,0.003,0.0108,0.9379,0.0119
UEBERL4,0.0053,0.0077,0.0047,0.0078,0.9525,0.022
TROSS2,0.007,0.01,0.0041,0.0495,0.0242,0.9051
TROSS6,0.0087,0.0144,0.004,0.084,0.0352,0.8537
TROSS6,0.0084,0.0154,0.004,0.085,0.0353,0.8517
BOHBU300,0.0078,0.0061,0.0032,0.9568,0.0166,0.0096
BOHBU415,0.0158,0.0062,0.004,0.9095,0.0356,0.029
UST41,0.0153,0.0176,0.0079,0.5612,0.0339,0.3641
BOHBU70,0.9537,0.005,0.003,0.017,0.008,0.0133
RIETH39,0.0385,0.0192,0.0044,0.1522,0.134,0.6516
BOHBU312,0.0787,0.426,0.007,0.1535,0.0973,0.2375
UEBERL149,0.0116,0.005,0.003,0.0077,0.964,0.0088
UEBERL32,0.0255,0.0079,0.004,0.0106,0.9382,0.0139
BOHBU119,0.1189,0.0573,0.0066,0.7586,0.0354,0.0232
TROSS28,0.0169,0.0361,0.01,0.1805,0.054,0.7025
BOHBU296,0.0094,0.0066,0.004,0.9655,0.0086,0.0059
BOHBU40,0.0089,0.008,0.005,0.9617,0.0098,0.0067
BOHBU9,0.0094,0.0074,0.004,0.9622,0.0099,0.007
BOHBU404,0.0179,0.0043,0.004,0.9447,0.0103,0.0187
BOHBU377,0.0496,0.0099,0.004,0.8496,0.0164,0.0705
BOHBU373,0.0068,0.0112,0.0042,0.9579,0.0139,0.006
BOHBU144,0.0159,0.0093,0.004,0.9572,0.0077,0.0059
BOHBU44,0.1973,0.0094,0.005,0.7433,0.0333,0.0117
UEBERL48,0.0057,0.0071,0.003,0.0084,0.9661,0.0097
FRIC10,0.0894,0.0138,0.0056,0.1946,0.2012,0.4954
FRIC30,0.2347,0.0159,0.0084,0.2427,0.1431,0.3552
FRIC13,0.1393,0.0167,0.007,0.1778,0.1364,0.5228
RIETH19,0.0222,0.0169,0.0051,0.7344,0.1957,0.0258
UEBERL82,0.0142,0.0077,0.003,0.0158,0.9426,0.0167
UEBERL2,0.0068,0.0081,0.003,0.0062,0.9663,0.0096
UST29,0.8291,0.0574,0.0031,0.03,0.0089,0.0715
UEBERL56,0.0128,0.016,0.0048,0.0086,0.9411,0.0168
UEBERL44,0.0068,0.0064,0.003,0.0052,0.9701,0.0084
UEBERL6,0.0102,0.0068,0.003,0.0207,0.9481,0.0112
