Ind,Pop,aest01_1,aest06_1,aest07_1,aest10_1,aest15_1,aest18_1,aest24_1,aest25_1,aest26_1,aest28_1,aest29_1,aest31_1,aest35_1,aest36_1
BOHBU76,BOB_7_2014,242,218,256,280,312,140,292,128,157,383,216,308,144,326
BOHBU77,BOB_7_2014,254,218,261,295,312,160,298,128,157,356,216,308,148,326
BOHBU79,BOB_8_2014,236,218,256,280,312,140,298,122,145,389,216,313,148,326
BOHBU83,BOB_10_2014,236,218,256,295,312,164,292,128,157,383,211,313,148,326
BOHBU84,BOB_10_2014,0,218,261,280,312,140,298,128,145,389,211,318,148,326
BOHBU85,BOB_11_2014,242,218,256,280,312,140,298,122,145,389,216,313,148,326
BOHBU89,BOB_11_2014,0,218,256,299,312,140,298,128,145,389,216,318,148,326
BOHBU90,BOB_11_2014,242,218,261,280,312,140,298,122,142,389,211,308,148,326
BOHBU91,BOB_11_2014,242,218,256,280,312,140,298,122,142,383,216,308,148,326
BOHBU92,BOB_11_2014,242,218,256,280,312,160,298,122,157,383,211,308,148,322
BOHBU93,BOB_11_2014,0,236,256,280,312,160,298,122,157,0,231,318,148,326
BOHBU94,BOB_11_2014,0,218,261,280,312,140,298,128,145,389,216,318,148,326
BOHBU96,BOB_11_2014,242,218,256,280,312,160,298,128,157,338,211,308,148,326
BOHBU99,BOB_12_2014,242,218,261,280,312,160,301,122,157,383,211,308,144,326
BOHHAS10,BOH_10_2011,236,218,261,280,312,144,298,128,157,389,216,318,148,326
BOHHAS11,BOH_10_2011,236,218,256,295,312,144,298,128,142,389,216,318,148,326
BOHHAS12,BOH_12_2011,242,218,256,295,312,160,298,128,157,356,216,308,148,326
BOHHAS13,BOH_3_2012,0,218,261,280,312,144,298,128,157,389,216,318,148,326
BOHHAS14,BOH_8_2012,236,218,261,280,312,144,298,128,157,356,216,318,148,326
BOHHAS15,BOH_8_2012,236,218,261,295,312,144,298,128,157,389,216,313,148,326
BOHHAS16,BOH_8_2012,242,236,261,280,312,144,298,128,178,383,211,308,148,322
BOHHAS17,BOH_8_2012,236,218,261,280,312,144,298,128,157,389,216,313,148,326
BOHHAS18,BOH_9_2012,236,218,261,280,312,140,298,128,178,389,216,318,148,326
BOHHAS19,BOH_9_2012,254,218,261,280,312,144,298,128,157,389,216,318,148,326
BOHHAS2,BOH_6_2011,242,218,261,280,312,140,298,128,178,383,216,313,148,326
BOHHAS21,BOH_9_2012,236,218,261,280,312,144,298,128,157,389,216,0,148,326
BOHHAS23,BOH_9_2012,0,236,256,280,312,144,298,122,178,389,0,0,148,326
BOHHAS24,BOH_10_2012,236,218,261,280,312,140,298,128,157,389,216,318,148,322
BOHHAS25,BOH_10_2012,236,218,261,295,312,144,298,128,157,389,216,318,148,326
BOHHAS26,BOH_11_2012,242,218,261,280,312,144,298,128,157,389,216,318,128,322
BOHHAS28,BOH_11_2012,0,218,261,0,312,144,0,128,157,389,216,313,148,326
BOHHAS29,BOH_11_2012,0,236,256,295,312,0,298,122,142,383,211,318,148,322
BOHHAS30,BOH_11_2012,242,236,256,295,312,144,298,128,178,383,211,308,148,326
BOHHAS31,BOH_11_2012,242,236,256,295,312,144,298,128,178,383,241,308,148,322
BOHHAS33,BOH_9_2013,0,218,256,325,312,144,0,128,157,389,216,318,148,326
