"","grp.grp"
"NEUCH24","3"
"NEUCH25","1"
"NEUCH26","5"
"WSL013","2"
"WSL014","2"
"WSL015","2"
"WSL016","2"
"WSL017","2"
"WSL018","2"
"WSL019","2"
"WSL020","2"
"WSL021","2"
"WSL022","2"
"WSL023","2"
"WSL024","2"
"BRU038","6"
"BRU039","6"
"BRU040","6"
"BRU041","6"
"BRU043","6"
"BRU044","6"
"BRU045","6"
"BRU046","6"
"BRU048","6"
"BRU049","6"
"BRU050","6"
"BRU051","6"
"BRU053","6"
"BRU054","6"
"LIM025","1"
"LIM027","1"
"LIM028","4"
"LIM029","1"
"LIM030","1"
"LIM031","1"
"SCHIF37","1"
"SCHIF38","1"
"SCHIF39","1"
"SCHIF40","1"
"SCHIF41","1"
"BOHBU190","5"
"BOHBU191","3"
"BOHBU192","3"
"BOHBU194","1"
"BOHBU195","1"
"BOHBU196","1"
"BOHBU197","1"
"BOHBU198","5"
"BOHBU200","3"
"BOHBU202","3"
"BOHBU203","3"
"BOHBU204","3"
"BOHBU205","5"
"BUR124","6"
"BUR125","6"
"BUR126","6"
"BUR127","6"
"BRU057","6"
"BRU058","6"
"BRU060","6"
"BRU063","6"
"BRU064","6"
"BRU065","6"
"BRU066","6"
"BRU067","6"
"BRU068","6"
"BRU069","6"
"BRU070","6"
"BRU071","6"
"BRU072","6"
"BRU074","6"
"BRU075","6"
"BRU077","4"
"BRU078","3"
"BRU079","6"
"KON35","1"
"KON40","1"
"LIM032","1"
"LIM033","1"
"LIM034","1"
"LIM036","1"
"LIM037","1"
"LIM038","1"
"LIM039","3"
"LIM040","4"
"LIM041","1"
"WSL025","2"
"WSL026","2"
"WSL027","2"
"WSL028","2"
"WSL029","2"
"WSL030","2"
"WSL031","2"
"WSL032","2"
"WSL033","2"
"WSL034","2"
"WSL035","2"
"WSL036","2"
"WSL037","2"
"WSL038","2"
"WSL039","2"
"WSL040","2"
"WSL041","3"
"WSL042","2"
"WSL043","2"
"WSL044","2"
"WSL045","2"
"WSL046","2"
"WSL047","2"
"SCHLIDR88","5"
"SCHLIDR89","5"
"SCHLIDR90","5"
"SCHLIDR91","5"
"SCHLIDR92","5"
"SCHLIDR93","5"
"SCHLIDR94","5"
"SCHLIDR95","5"
"SCHLIDR96","5"
"SCHLIDR97","5"
"SCHLIDR98","5"
"SCHLIGR287","4"
"SCHLIGR290","4"
"SCHLIGR296","4"
"BOHBU207","5"
"BOHBU208","2"
"BOHBU210","1"
"BUR138","6"
"BRU080","6"
"BRU081","6"
"BRU083","6"
"BRU084","6"
"BRU085","6"
"BRU086","4"
"BRU087","6"
"BRU088","6"
"BRU089","6"
"BRU090","6"
"BRU091","6"
"BRU092","6"
"BRU093","6"
"BRU095","6"
"BRU096","6"
"BRU097","6"
"BRU099","4"
"BRU100","6"
"BRU101","6"
"BRU102","6"
"BRU103","6"
"FREI115","6"
"FREI116","6"
"FREI117","6"
"FREI121","6"
"FREI124","6"
"FREI125","6"
"FREI126","6"
"FREI128","6"
"FREI129","6"
"FREI130","6"
"FREI132","6"
"FREI137","6"
"FREI138","6"
"FREI139","6"
"FREI140","6"
"FREI141","6"
"FREI143","6"
"FREI147","6"
"KON41","1"
"KON46","1"
"KON48","1"
"KON57","5"
"KON59","1"
"KON60","5"
"KON61","1"
"KON62","1"
"KON64","1"
"KON68","1"
"LIM042","1"
"LIM043","1"
"LIM044","1"
"LIM045","1"
"LIM046","1"
"LIM047","4"
"LIM048","4"
"LIM049","1"
"LIM050","1"
"LIM051","4"
"NEUCH28","3"
"NEUCH29","1"
"NEUCH30","1"
"NEUCH31","1"
"SCHIF42","1"
"SCHIF44","1"
"SCHIF45","1"
"SCHIF46","1"
"SCHIF47","1"
"SCHLIDR100","5"
"SCHLIDR101","5"
"SCHLIDR102","5"
"SCHLIDR103","5"
"SCHLIDR104","5"
"SCHLIDR105","2"
"SCHLIDR106","5"
"SCHLIDR108","5"
"SCHLIDR109","4"
"SCHLIDR110","5"
"SCHLIDR111","4"
"SCHLIDR112","5"
"SCHLIDR113","5"
"SCHLIDR114","5"
"SCHLIDR115","4"
"SCHLIDR116","5"
"SCHLIDR117","5"
"SCHLIDR118","4"
"SCHLIDR119","5"
"SCHLIDR99","5"
"SCHLIGR303","4"
"SCHLIGR305","4"
"SCHLIGR306","4"
"SCHLIGR311","4"
"WSL048","2"
"WSL049","2"
"WSL050","2"
"WSL051","2"
"WSL052","3"
"LIM052","1"
"LIM053","1"
"SCHLIDR120","5"
"BOHBU214","3"
"BOHBU216","4"
"BOHBU219","3"
"BOHBU226","3"
"BOHBU228","5"
"BOHBU233","5"
"BOHBU234","3"
"BOHBU236","2"
"BOHBU237","3"
"BRU105","4"
"BRU106","6"
"BRU107","6"
"BRU110","6"
"FRIC62","3"
"FRIC63","3"
"FRIC64","3"
"FRIC65","3"
"FRIC66","3"
"FRIC67","3"
"FRIC68","3"
"FRIC72","3"
"KON72","1"
"KON75","2"
"KON78","1"
"KON83","1"
"LIM054","3"
"LIM055","3"
"LIM056","3"
"LIM057","3"
"LIM058","5"
"LIM059","5"
"LIM060","5"
"LIM061","4"
"LIM062","5"
"WSL053","2"
"WSL054","2"
"WSL055","2"
"WSL056","2"
"WSL057","2"
"FREI148","6"
"FREI149","6"
"FREI150","6"
"FREI151","6"
"FREI152","6"
"FREI153","6"
"FREI154","6"
"FREI155","6"
"BRU114","6"
"BRU115","6"
"BRU116","6"
