"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60"
"UST_2014",2,2,1,2,4,2,2,1,3,2,1,2,2,3,2.07142857142857,0.42,0.48,0,0.42,0.64,0.48,0.32,0,0.58,0.32,0,0.32,0.42,0.62,0.358571428571429,0.466666666666667,0.533333333333333,0,0.466666666666667,0.711111111111111,0.533333333333333,0.355555555555555,0,0.644444444444444,0.355555555555555,0,0.355555555555555,0.466666666666667,0.688888888888889,0.398412698412698,0.859998033904004,0.961406564361458,NA,0.859998033904004,0.802078542512125,0.961406564361458,0.724667671903595,NA,0.880390730003472,0.724667671903595,NA,0.724667671903595,0.859998033904004,0.906385378394003,0.842333172459574
"SCD_2014",1,2,1,2,1,1,2,3,2,2,1,1,1,2,1.57142857142857,0,0.375,0,0.375,0,0,0.375,0.53125,0.375,0.375,0,0,0,0.21875,0.1875,0,0.428571428571429,0,0.428571428571429,0,0,0.428571428571429,0.607142857142857,0.428571428571429,0.428571428571429,0,0,0,0.25,0.214285714285714,NA,0.794949052073454,NA,0.794949052073454,NA,NA,0.794949052073454,0.776131858228185,0.794949052073454,0.794949052073454,NA,NA,NA,0.611929212534787,0.766115190161463
"FRE_2014",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.07142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345679012345679,0.0246913580246914,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388888888888889,0.0277777777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.756410006077859,0.756410006077859
"FRB_2014",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALD_2014",3,2,1,2,2,1,1,2,2,2,2,1,2,1,1.71428571428571,0.448979591836735,0.244897959183674,0,0.244897959183674,0.244897959183674,0,0,0.408163265306122,0.244897959183674,0.244897959183674,0.244897959183674,0,0.244897959183674,0,0.183673469387755,0.523809523809524,0.285714285714286,0,0.285714285714286,0.285714285714286,0,0,0.476190476190476,0.285714285714286,0.285714285714286,0.285714285714286,0,0.285714285714286,0,0.214285714285714,0.669336279706564,0.639701696570802,NA,0.639701696570802,0.639701696570802,NA,NA,0.84210218415071,0.639701696570802,0.639701696570802,0.639701696570802,NA,0.639701696570802,NA,0.665483371094765
"FRI_2014",1,2,1,2,2,1,1,2,2,2,2,1,2,2,1.64285714285714,0,0.375,0,0.5,0.375,0,0,0.375,0.375,0.375,0.375,0,0.5,0.375,0.258928571428571,0,0.5,0,0.666666666666667,0.5,0,0,0.5,0.5,0.5,0.5,0,0.666666666666667,0.5,0.345238095238095,NA,0.794949052073454,NA,1,0.794949052073454,NA,NA,0.794949052073454,0.794949052073454,0.794949052073454,0.794949052073454,NA,1,0.794949052073454,0.840515929390464
"SCL_2014",1,1,1,2,6,2,1,3,2,2,1,2,2,2,2,0,0,0,0.21875,0.527777777777778,0.0798611111111109,0,0.15625,0.0798611111111109,0.152777777777778,0,0.0798611111111109,0.0798611111111109,0.0798611111111109,0.103918650793651,0,0,0,0.228260869565217,0.550724637681159,0.0833333333333331,0,0.16304347826087,0.0833333333333331,0.159420289855073,0,0.0833333333333331,0.0833333333333331,0.0833333333333331,0.10843685300207,NA,NA,NA,0.611929212534787,0.529729726890268,0.458951985267074,NA,0.450109234103528,0.458951985267074,0.542819926336102,NA,0.458951985267074,0.458951985267074,0.458951985267074,0.492149780688895
"SCS_2014",1,2,1,2,2,2,1,2,2,2,2,1,1,1,1.57142857142857,0,0.124444444444444,0,0.124444444444444,0.124444444444444,0.124444444444444,0,0.124444444444444,0.124444444444444,0.124444444444444,0.124444444444444,0,0,0,0.0711111111111111,0,0.133333333333333,0,0.133333333333333,0.133333333333333,0.133333333333333,0,0.133333333333333,0.133333333333333,0.133333333333333,0.133333333333333,0,0,0,0.0761904761904761,NA,0.512128411009036,NA,0.512128411009036,0.512128411009036,0.512128411009036,NA,0.512128411009036,0.512128411009036,0.512128411009036,0.512128411009036,NA,NA,NA,0.512128411009036
"BAR_2014",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SCG_2014",1,2,1,2,2,1,1,2,1,2,1,2,2,2,1.57142857142857,0,0.5,0,0.5,0.5,0,0,0.5,0,0.5,0,0.5,0.5,0.5,0.285714285714286,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0.571428571428571,NA,1,NA,1,1,NA,NA,1,NA,1,NA,1,1,1,1
"BOH_2014",1,2,1,2,2,2,1,2,2,2,1,1,2,3,1.71428571428571,0,0.32,0,0.18,0.32,0.42,0,0.32,0.32,0.18,0,0,0.18,0.54,0.198571428571429,0,0.355555555555555,0,0.2,0.355555555555555,0.466666666666667,0,0.355555555555555,0.355555555555555,0.2,0,0,0.2,0.6,0.220634920634921,NA,0.724667671903595,NA,0.571429840295638,0.724667671903595,0.859998033904004,NA,0.724667671903595,0.724667671903595,0.571429840295638,NA,NA,0.571429840295638,0.807059590430472,0.697779759203975
"BUR_2014",2,2,2,2,4,2,3,2,2,2,2,3,2,2,2.28571428571429,0.21875,0.375,0.375,0.375,0.71875,0.375,0.65625,0.375,0.375,0.375,0.375,0.625,0.375,0.46875,0.433035714285714,0.25,0.428571428571429,0.428571428571429,0.428571428571429,0.821428571428571,0.428571428571429,0.75,0.428571428571429,0.428571428571429,0.428571428571429,0.428571428571429,0.714285714285714,0.428571428571429,0.535714285714286,0.494897959183673,0.611929212534787,0.794949052073454,0.794949052073454,0.794949052073454,0.930393060725883,0.794949052073454,0.978443052415877,0.794949052073454,0.794949052073454,0.794949052073454,0.794949052073454,0.911530267796712,0.794949052073454,0.940856086883051,0.823406653501243
"KON_2014",2,1,1,2,1,2,2,2,1,2,2,1,1,1,1.5,0.486111111111111,0,0,0.486111111111111,0,0.277777777777778,0.152777777777778,0.375,0,0.152777777777778,0.444444444444444,0,0,0,0.169642857142857,0.53030303030303,0,0,0.53030303030303,0,0.303030303030303,0.166666666666667,0.409090909090909,0,0.166666666666667,0.484848484848485,0,0,0,0.185064935064935,0.972909170063579,NA,NA,0.972909170063579,NA,0.675721005434548,0.542819926336102,0.794949052073454,NA,0.542819926336102,0.898996026681149,NA,NA,NA,0.77158918242693
"NEU_2014",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.07142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444444444,0,0.0317460317460317,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0.0476190476190476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.898996026681149,NA,0.898996026681149
"ALD_2015",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1.07142857142857,0,0,0,0.444444444444444,0,0,0,0,0,0,0,0,0,0,0.0317460317460317,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0.0476190476190476,NA,NA,NA,0.898996026681149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.898996026681149
"BOB_2015",2,2,1,4,4,1,2,2,2,3,3,2,2,3,2.35714285714286,0.375,0.4921875,0,0.5546875,0.6796875,0,0.3046875,0.46875,0.375,0.40625,0.3203125,0.3046875,0.46875,0.5703125,0.380022321428571,0.4,0.525,0,0.591666666666667,0.725,0,0.325,0.5,0.4,0.433333333333333,0.341666666666667,0.325,0.5,0.608333333333333,0.405357142857143,0.794949052073454,0.984595131069078,NA,0.680071004093563,0.878743768806139,NA,0.706498281313375,0.940856086883051,0.794949052073454,0.629576251694888,0.570795123564662,0.706498281313375,0.940856086883051,0.841051301730874,0.78911995179158
"KON_2015",2,1,1,1,1,1,1,1,2,1,1,1,1,1,1.14285714285714,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.0714285714285714,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.142857142857143,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
"RIE_2015",2,2,1,3,4,1,1,3,2,2,3,2,1,2,2.07142857142857,0.375,0.5,0,0.625,0.75,0,0,0.625,0.5,0.375,0.625,0.5,0,0.375,0.375,0.5,0.666666666666667,0,0.833333333333333,1,0,0,0.833333333333333,0.666666666666667,0.5,0.833333333333333,0.666666666666667,0,0.5,0.5,0.794949052073454,1,NA,0.911530267796712,1,NA,NA,0.911530267796712,1,0.794949052073454,0.911530267796712,1,NA,0.794949052073454,0.91194379596105
