		aest01_1	aest06_1	aest07_1	aest10_1	aest15_1	aest18_1	aest24_1	aest25_1	aest26_1	aest28_1	aest29_1	aest31_1	aest35_1	aest36_1
BOHBU158	BOB	242	218	256	280	312	140	298	128	145	389	216	315	148	326
BOHBU159	BOB	242	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU16	BOB	242	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU160	BOB	242	218	261	295	312	140	292	128	145	389	216	315	148	326
BOHBU161	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU162	BOB	242	218	261	280	312	140	298	122	145	389	216	315	148	326
BOHBU163	BOB	242	218	256	280	312	140	298	128	145	389	216	315	148	326
BOHBU164	BOB	242	218	256	280	312	140	298	128	145	389	216	315	148	326
BOHBU165	BOB	242	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU166	BOB	242	236	261	280	312	160	298	122	157	356	211	318	148	322
BOHBU167	BOB	242	218	256	280	312	140	298	128	145	389	216	315	148	326
BOHBU168	BOB	242	218	256	280	312	140	298	128	145	389	216	315	148	326
BOHBU169	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU17	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU170	BOB	242	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU171	BOB	242	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU173	BOB	0	218	256	280	312	140	298	128	145	389	216	0	148	326
BOHBU176	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU178	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU179	BOB	254	218	256	280	312	140	298	128	145	383	216	313	148	326
BOHBU18	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU180	BOB	242	218	256	280	312	140	298	122	157	383	216	308	148	322
BOHBU181	BOB	242	218	256	280	312	140	298	128	145	383	216	313	148	326
BOHBU182	BOB	0	218	256	280	312	140	298	128	145	389	216	0	148	326
BOHBU183	BOB	242	218	256	280	312	140	298	122	157	383	216	308	148	322
BOHBU184	BOB	0	218	256	280	312	140	298	122	157	383	216	308	148	322
BOHBU185	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU186	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU187	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU188	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU189	BOB	236	218	256	295	312	140	298	128	145	389	216	318	148	326
BOHBU19	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU190	BOB	236	218	256	280	312	140	298	122	145	338	216	318	148	326
BOHBU191	BOB	242	218	256	280	312	140	298	128	145	389	216	313	148	326
BOHBU192	BOB	242	218	256	280	312	140	298	128	145	383	216	313	148	326
BOHBU194	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU195	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
BOHBU196	BOB	236	218	256	280	312	140	298	128	145	389	216	318	148	326
